Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,13945.0,26573.0,15932.0,10641.0,3240138.0,232.0,122.0,1.91,2015,Calhoun,14,0
,13867.0,26397.0,15832.0,10565.0,3175875.0,229.0,120.0,1.9,2015,Calhoun,14,0
,13762.0,26082.0,15703.0,10379.0,3082988.0,224.0,118.0,1.9,2015,Calhoun,14,0
,13756.0,26134.0,15727.0,10407.0,3106624.0,226.0,119.0,1.9,2015,Calhoun,14,0
,13683.0,25964.0,15658.0,10306.0,3070541.0,224.0,118.0,1.9,2015,Calhoun,14,0
,13501.0,25563.0,15451.0,10112.0,3036523.0,225.0,119.0,1.89,2015,Calhoun,14,0
,13465.0,25539.0,15411.0,10128.0,3008893.0,223.0,118.0,1.9,2015,Calhoun,14,0
,13304.0,25194.0,15251.0,9943.0,2954708.0,222.0,117.0,1.89,2015,Calhoun,14,0
,13187.0,24919.0,15083.0,9836.0,2906299.0,220.0,117.0,1.89,2015,Calhoun,14,0
,13035.0,24636.0,14892.0,9744.0,2884792.0,221.0,117.0,1.89,2015,Calhoun,14,0
,12924.0,24443.0,14765.0,9678.0,2853780.0,221.0,117.0,1.89,2015,Calhoun,14,0
,13546.0,25698.0,15487.0,10210.0,3054657.0,225.0,119.0,1.9,2015,Calhoun,14,0
,3606.0,7564.0,4289.0,3275.0,900957.0,250.0,119.0,2.1,2015,Cass,15,0
,3579.0,7464.0,4256.0,3208.0,878998.0,246.0,118.0,2.09,2015,Cass,15,0
,3630.0,7574.0,4329.0,3245.0,876502.0,241.0,116.0,2.09,2015,Cass,15,0
,3623.0,7517.0,4314.0,3203.0,868988.0,240.0,116.0,2.07,2015,Cass,15,0
,3638.0,7553.0,4327.0,3226.0,885419.0,243.0,117.0,2.08,2015,Cass,15,0
,3612.0,7475.0,4306.0,3169.0,883661.0,245.0,118.0,2.07,2015,Cass,15,0
,3602.0,7450.0,4286.0,3164.0,881339.0,245.0,118.0,2.07,2015,Cass,15,0
,3570.0,7354.0,4239.0,3115.0,877034.0,246.0,119.0,2.06,2015,Cass,15,0
,3504.0,7287.0,4175.0,3112.0,854868.0,244.0,117.0,2.08,2015,Cass,15,0
,3456.0,7156.0,4098.0,3058.0,822305.0,238.0,115.0,2.07,2015,Cass,15,0
,3443.0,7088.0,4076.0,3012.0,813095.0,236.0,115.0,2.06,2015,Cass,15,0
,3371.0,6912.0,3975.0,2937.0,797190.0,236.0,115.0,2.05,2015,Cass,15,0
,3553.0,7366.0,4223.0,3144.0,861696.0,242.0,117.0,2.07,2015,Cass,15,0
,1298.0,2591.0,1592.0,999.0,276944.0,213.0,107.0,2.0,2015,Charlevoix,16,0
,1289.0,2529.0,1563.0,966.0,271871.0,211.0,108.0,1.96,2015,Charlevoix,16,0
,1299.0,2562.0,1570.0,992.0,270239.0,208.0,105.0,1.97,2015,Charlevoix,16,0
,1312.0,2611.0,1602.0,1009.0,270937.0,207.0,104.0,1.99,2015,Charlevoix,16,0
,1329.0,2643.0,1611.0,1032.0,275179.0,207.0,104.0,1.99,2015,Charlevoix,16,0
,1302.0,2583.0,1588.0,995.0,266995.0,205.0,103.0,1.98,2015,Charlevoix,16,0
,1292.0,2575.0,1573.0,1002.0,267967.0,207.0,104.0,1.99,2015,Charlevoix,16,0
,1294.0,2554.0,1569.0,985.0,265972.0,206.0,104.0,1.97,2015,Charlevoix,16,0
,1281.0,2533.0,1553.0,980.0,263405.0,206.0,104.0,1.98,2015,Charlevoix,16,0
,1250.0,2488.0,1516.0,972.0,253346.0,203.0,102.0,1.99,2015,Charlevoix,16,0
,1212.0,2401.0,1455.0,946.0,245737.0,203.0,102.0,1.98,2015,Charlevoix,16,0
,1191.0,2358.0,1430.0,928.0,237288.0,199.0,101.0,1.98,2015,Charlevoix,16,0
,1279.0,2536.0,1552.0,984.0,263823.0,206.0,104.0,1.98,2015,Charlevoix,16,0
,2174.0,4145.0,2714.0,1431.0,467710.0,215.0,113.0,1.91,2015,Cheboygan,17,0
,2207.0,4245.0,2757.0,1488.0,483858.0,219.0,114.0,1.92,2015,Cheboygan,17,0
,2243.0,4355.0,2820.0,1535.0,498783.0,222.0,115.0,1.94,2015,Cheboygan,17,0
,2267.0,4429.0,2852.0,1577.0,497856.0,220.0,112.0,1.95,2015,Cheboygan,17,0
,2284.0,4418.0,2869.0,1549.0,509086.0,223.0,115.0,1.93,2015,Cheboygan,17,0
,2271.0,4399.0,2850.0,1549.0,501349.0,221.0,114.0,1.94,2015,Cheboygan,17,0
,2257.0,4378.0,2843.0,1535.0,495271.0,219.0,113.0,1.94,2015,Cheboygan,17,0
,2251.0,4366.0,2833.0,1533.0,498155.0,221.0,114.0,1.94,2015,Cheboygan,17,0
,2204.0,4276.0,2766.0,1510.0,471554.0,214.0,110.0,1.94,2015,Cheboygan,17,0
,2120.0,4057.0,2645.0,1412.0,437552.0,206.0,108.0,1.91,2015,Cheboygan,17,0
,2047.0,3919.0,2544.0,1375.0,413499.0,202.0,106.0,1.91,2015,Cheboygan,17,0
,2005.0,3826.0,2481.0,1345.0,396943.0,198.0,104.0,1.91,2015,Cheboygan,17,0
,2194.0,4234.0,2748.0,1487.0,472635.0,215.0,111.0,1.93,2015,Cheboygan,17,0
,2459.0,4839.0,2945.0,1894.0,567965.0,231.0,117.0,1.97,2015,Chippewa,18,0
,2466.0,4823.0,2938.0,1885.0,558584.0,227.0,116.0,1.96,2015,Chippewa,18,0
,2481.0,4876.0,2962.0,1914.0,557614.0,225.0,114.0,1.97,2015,Chippewa,18,0
,2478.0,4846.0,2957.0,1889.0,549227.0,222.0,113.0,1.96,2015,Chippewa,18,0
,2490.0,4852.0,2972.0,1880.0,556490.0,223.0,115.0,1.95,2015,Chippewa,18,0
,2453.0,4795.0,2936.0,1859.0,547805.0,223.0,114.0,1.95,2015,Chippewa,18,0
,2427.0,4752.0,2901.0,1851.0,544823.0,224.0,115.0,1.96,2015,Chippewa,18,0
,2392.0,4655.0,2839.0,1816.0,542094.0,227.0,116.0,1.95,2015,Chippewa,18,0
,2360.0,4600.0,2786.0,1814.0,528122.0,224.0,115.0,1.95,2015,Chippewa,18,0
,2332.0,4564.0,2769.0,1795.0,521579.0,224.0,114.0,1.96,2015,Chippewa,18,0
,2308.0,4509.0,2737.0,1772.0,506196.0,219.0,112.0,1.95,2015,Chippewa,18,0
,2272.0,4438.0,2691.0,1747.0,496694.0,219.0,112.0,1.95,2015,Chippewa,18,0
,2410.0,4712.0,2869.0,1843.0,539766.0,224.0,115.0,1.96,2015,Chippewa,18,0
,3789.0,7182.0,4705.0,2477.0,889938.0,235.0,124.0,1.9,2015,Clare,19,0
,3723.0,7074.0,4641.0,2433.0,876341.0,235.0,124.0,1.9,2015,Clare,19,0
,3723.0,7049.0,4635.0,2414.0,859811.0,231.0,122.0,1.89,2015,Clare,19,0
,3724.0,7046.0,4645.0,2401.0,852783.0,229.0,121.0,1.89,2015,Clare,19,0
,3741.0,7060.0,4664.0,2396.0,851435.0,228.0,121.0,1.89,2015,Clare,19,0
,3724.0,7039.0,4645.0,2394.0,848449.0,228.0,121.0,1.89,2015,Clare,19,0
,3663.0,6963.0,4586.0,2377.0,832549.0,227.0,120.0,1.9,2015,Clare,19,0
,3656.0,6947.0,4577.0,2370.0,827566.0,226.0,119.0,1.9,2015,Clare,19,0
,3624.0,6902.0,4544.0,2358.0,815847.0,225.0,118.0,1.9,2015,Clare,19,0
,3590.0,6826.0,4487.0,2339.0,801972.0,223.0,117.0,1.9,2015,Clare,19,0
,3544.0,6716.0,4418.0,2298.0,798932.0,225.0,119.0,1.9,2015,Clare,19,0
,3579.0,6798.0,4458.0,2340.0,799793.0,223.0,118.0,1.9,2015,Clare,19,0
,3673.0,6967.0,4584.0,2383.0,837951.0,228.0,120.0,1.9,2015,Clare,19,0
,2582.0,5249.0,3067.0,2182.0,626816.0,243.0,119.0,2.03,2015,Clinton,20,0
,2599.0,5246.0,3094.0,2152.0,623858.0,240.0,119.0,2.02,2015,Clinton,20,0
,2602.0,5272.0,3110.0,2162.0,614726.0,236.0,117.0,2.03,2015,Clinton,20,0
,2581.0,5226.0,3082.0,2144.0,596674.0,231.0,114.0,2.02,2015,Clinton,20,0
,2610.0,5223.0,3098.0,2125.0,611914.0,234.0,117.0,2.0,2015,Clinton,20,0
,2594.0,5193.0,3072.0,2121.0,600494.0,231.0,116.0,2.0,2015,Clinton,20,0
,2554.0,5124.0,3019.0,2105.0,594478.0,233.0,116.0,2.01,2015,Clinton,20,0
,2567.0,5159.0,3024.0,2135.0,593468.0,231.0,115.0,2.01,2015,Clinton,20,0
,2516.0,5050.0,2961.0,2089.0,580963.0,231.0,115.0,2.01,2015,Clinton,20,0
,2487.0,4986.0,2942.0,2044.0,570422.0,229.0,114.0,2.0,2015,Clinton,20,0
,2444.0,4929.0,2895.0,2034.0,562236.0,230.0,114.0,2.02,2015,Clinton,20,0
,2389.0,4813.0,2829.0,1984.0,549505.0,230.0,114.0,2.01,2015,Clinton,20,0
,2544.0,5123.0,3016.0,2106.0,593796.0,233.0,116.0,2.01,2015,Clinton,20,0
,1342.0,2543.0,1668.0,875.0,293208.0,218.0,115.0,1.89,2015,Crawford,21,0
,1332.0,2535.0,1668.0,867.0,288297.0,216.0,114.0,1.9,2015,Crawford,21,0
,1323.0,2492.0,1649.0,843.0,280985.0,212.0,113.0,1.88,2015,Crawford,21,0
,1332.0,2480.0,1647.0,833.0,276989.0,208.0,112.0,1.86,2015,Crawford,21,0
,1349.0,2533.0,1665.0,868.0,285616.0,212.0,113.0,1.88,2015,Crawford,21,0
,1365.0,2563.0,1694.0,869.0,289678.0,212.0,113.0,1.88,2015,Crawford,21,0
,1352.0,2524.0,1674.0,850.0,278966.0,206.0,111.0,1.87,2015,Crawford,21,0
,1323.0,2477.0,1643.0,834.0,278378.0,210.0,112.0,1.87,2015,Crawford,21,0
,1303.0,2431.0,1615.0,816.0,270338.0,207.0,111.0,1.87,2015,Crawford,21,0
,1271.0,2351.0,1579.0,772.0,260228.0,205.0,111.0,1.85,2015,Crawford,21,0
,1260.0,2334.0,1565.0,769.0,260329.0,207.0,112.0,1.85,2015,Crawford,21,0
,1259.0,2309.0,1553.0,756.0,258126.0,205.0,112.0,1.83,2015,Crawford,21,0
,1318.0,2464.0,1635.0,829.0,276762.0,210.0,112.0,1.87,2015,Crawford,21,0
,3027.0,5600.0,3628.0,1972.0,657291.0,217.0,117.0,1.85,2015,Delta,22,0
,3033.0,5602.0,3624.0,1978.0,642097.0,212.0,115.0,1.85,2015,Delta,22,0
,2995.0,5523.0,3588.0,1935.0,628196.0,210.0,114.0,1.84,2015,Delta,22,0
,3015.0,5545.0,3605.0,1940.0,618083.0,205.0,111.0,1.84,2015,Delta,22,0
,3007.0,5485.0,3586.0,1899.0,623375.0,207.0,114.0,1.82,2015,Delta,22,0
,3024.0,5509.0,3599.0,1910.0,627351.0,207.0,114.0,1.82,2015,Delta,22,0
,3024.0,5533.0,3602.0,1931.0,633594.0,210.0,115.0,1.83,2015,Delta,22,0
,3017.0,5556.0,3597.0,1959.0,634864.0,210.0,114.0,1.84,2015,Delta,22,0
,2998.0,5519.0,3575.0,1944.0,628415.0,210.0,114.0,1.84,2015,Delta,22,0
,2972.0,5456.0,3528.0,1928.0,614841.0,207.0,113.0,1.84,2015,Delta,22,0
,2943.0,5396.0,3484.0,1912.0,610468.0,207.0,113.0,1.83,2015,Delta,22,0
,2905.0,5321.0,3432.0,1889.0,597325.0,206.0,112.0,1.83,2015,Delta,22,0
,2997.0,5504.0,3571.0,1933.0,626325.0,209.0,114.0,1.84,2015,Delta,22,0
,1718.0,3201.0,2047.0,1154.0,361824.0,211.0,113.0,1.86,2015,Dickinson,23,0
,1696.0,3133.0,2018.0,1115.0,347882.0,205.0,111.0,1.85,2015,Dickinson,23,0
,1692.0,3151.0,2032.0,1119.0,346879.0,205.0,110.0,1.86,2015,Dickinson,23,0
,1698.0,3154.0,2035.0,1119.0,341843.0,201.0,108.0,1.86,2015,Dickinson,23,0
,1695.0,3136.0,2021.0,1115.0,348669.0,206.0,111.0,1.85,2015,Dickinson,23,0
,1686.0,3124.0,2012.0,1112.0,348588.0,207.0,112.0,1.85,2015,Dickinson,23,0
